"name","n"
"Louis Leon Thurstone",1
"Luc Anselin",1
"Luigi Bodio",1
"Lyndhurst Giblin",1
"Mark Kac",1
"Mark Lathrop",1
"Martin Wilk",1
"Mary W. Gray",1
"Maryse Marpsat",1
"Maurice Block",1
"Maurice Priestley",1
"Maurice Princet",1
"Max O. Lorenz",1
"Michael Healy",1
"Michael I. Jordan",1
"Michael Teitelbaum",1
"Michel Gauquelin",1
"Michel Loève",1
"Mir Masoom Ali",1
"Mollie Orshansky",1
"Mordecai Ezekiel",1
"Morris H. DeGroot",1
"Moses Abramovitz",1
"Motosaburo Masuyama",1
"Myles Hollander",1
"Nan Laird",1
"Nancy Reid",1
"Nate Silver",1
"Nathan Mantel",1
"Nicholas Polson",1
"Nicolas-François Dupré de Saint-Maur",1
"Norman Breslow",1
"Octav Onicescu",1
"Odd Aalen",1
"Olav Reiersøl",1
"Oscar Phelps Austin",1
"Oskar Anderson",1
"Oswald Jacoby",1
"Otis Dudley Duncan",1
"P. N. Mari Bhat",1
"Paola Sebastiani",1
"Partha Niyogi",1
"Pat Moran",1
"Paul Halmos",1
"Paul McCrossan",1
"Paul Meier",1
"Peter Gavin Hall",1
"Peter Green",1
"Phelim Boyle",1
"Philip Dawid",1
"Phillip Good",1
"Phillip Kott",1
"Phillip Longman",1
"Pierre Gy",1
"Pyotr Semyonov-Tyan-Shansky",1
"Quinn McNemar",1
"Ravindra Khattree",1
"Raymond Pearl",1
"Reginald Punnett",1
"Renato Mannheimer",1
"Rensis Likert",1
"Reuven Rubinstein",1
"Riaz Ahsan",1
"Richard D. Gill",1
"Richard M. Dudley",1
"Richard Monckton Milnes, 1st Baron Houghton",1
"Richard Threlkeld Cox",1
"Richard W. B. Clarke",1
"Robert C. Elston",1
"Robert Giffen",1
"Robert Griffiths",1
"Robert H. Coats",1
"Robert L. Thorndike",1
"Robert Mackenzie Johnston",1
"Robert P. Abelson",1
"Robert R. Sokal",1
"Robert René Kuczynski",1
"Robert Schlaifer",1
"Robert Wedderburn",1
"Robin Plackett",1
"Roelof Botha",1
"Ronald Coifman",1
"Ronald Freedman",1
"Ronald L. Iman",1
"Ross Ihaka",1
"Roy C. Geary",1
"Royal Meeker",1
"S. Jay Olshansky",1
"Samuel A. Stouffer",1
"Samuel Goldman",1
"Samuel H. Preston",1
"Samuel Jones-Loyd, 1st Baron Overstone",1
"Sander Greenland",1
"Shayle R. Searle",1
"Shlomo Sawilowsky",1
"Shyamaprasad Mukherjee",1
"Sidney Siegel",1
